assembly_id	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund	num_SCG_hits_after_len_filt	in_final_tree	GTDB_accession	GTDB_domain	GTDB_phylum	GTDB_class	GTDB_order	GTDB_family	GTDB_genus	GTDB_species
GCA_000008085.1	228908	14	14	87.50	0.00	8	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000403035.1	910047	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000436195.1	1262706	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000798955.1	1339252	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000987045.1	1605376	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000990575.1	1618350	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000991445.1	1618919	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000992395.1	1618811	14	14	87.50	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000992445.2	1618780	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000992725.1	1618490	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000994805.1	1618613	14	14	87.50	0.00	11	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_000996085.1	1618865	14	14	87.50	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001000215.1	1619106	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001002645.1	1618628	14	14	87.50	0.00	11	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001302725.1	1703423	13	13	81.25	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001302825.1	1703414	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001302835.1	1703770	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001303885.1	1704029	13	13	81.25	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001304015.1	1703428	13	13	81.25	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001304035.1	1703762	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001304365.1	1703361	10	6	62.50	25.00	6	No	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001443005.1	1662110	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001462255.1	1704282	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001512605.1	1671636	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001513335.1	1676157	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001515205.2	1776334	15	15	93.75	0.00	10	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001567305.1	1617427	13	12	81.25	6.25	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001577715.1	1705730	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001586195.1	76853	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001627735.1	1811638	1	1	6.25	0.00	1	No	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001664005.1	1862950	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001664505.1	1660251	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001717015.1	1867261	15	15	93.75	0.00	11	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001723845.1	1849261	13	13	81.25	0.00	7	No	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001723995.1	1884872	10	10	62.50	0.00	10	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001725215.1	1660094	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001730085.1	1868283	14	10	87.50	56.25	10	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001750645.1	1732023	14	14	87.50	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001751015.1	1869301	13	13	81.25	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001766815.1	1838285	14	14	87.50	0.00	9	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001768675.1	1797200	13	13	81.25	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001769355.1	1797362	13	13	81.25	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001771285.1	1801659	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001771705.1	1802588	13	13	81.25	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001772665.1	1802624	14	14	87.50	0.00	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001773455.1	1817814	14	14	87.50	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001775095.1	1797737	14	14	87.50	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001776975.1	1797765	14	14	87.50	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001777895.1	1817851	12	12	75.00	0.00	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001778095.1	1797993	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001778465.1	1798325	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001780145.1	1817848	14	14	87.50	0.00	13	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001782335.1	1798611	13	13	81.25	0.00	11	Yes	NA	NA	NA	NA	NA	NA	NA	NA
GCA_001782795.1	1817869	7	7	43.75	0.00	5	No	NA	NA	NA	NA	NA	NA	NA	NA
